O3,CO,NO,NO2,Nox,SO2,PM10,PM2.5
35.794,,64.039,64.845,128.838,3.398,39.566,
36.532,,53.636,71.198,124.793,4.027,42.204,
37.524,,27.88,44.732,72.555,3.806,40.249,
26.758,,60.189,48.052,108.217,3.921,56.748,
29.462,,22.698,40.332,62.931,5.052,79.607,
,,9.039,30.508,39.548,5.118,143.807,
,1.082,24.558,44.427,68.977,3.236,71.814,
41.881,1.32,34.492,52.345,86.828,3.503,73.972,
36.982,1.066,16.217,41.583,57.8,4.05,65.353,
41.502,1.053,17.986,35.6,53.585,5.546,60.214,
42.175,2.598,127.959,59.322,186.363,5.61,67.367,
28.547,1.587,90.131,63.988,154.096,5.615,66.638,
26.303,3.703,58.828,57.033,115.803,3.961,70.032,
43.516,,90.419,59.389,147.462,5.679,67.662,
34.541,1.099,176.349,74.194,248.953,3.309,66.343,
37.573,2.107,62.981,61.641,124.546,4.719,74.032,
38.433,1.026,16.184,39.44,55.251,3.295,80.754,
39.834,1.266,32.406,49.917,82.288,3.458,69.103,
27.724,2.126,95.511,60.43,154.503,5.396,82.195,
29.15,2.699,166.305,61.717,223.847,4.893,78.061,
33.475,2.088,142.71,56.582,200.747,4.676,73.276,
30.53,2.402,143.44,60.817,203.943,5.989,68.221,
39.334,1.425,54.151,49.995,104.031,3.696,106.06,
39.719,0.854,9.819,26.901,36.409,4.303,70.781,
55.992,3.115,102.495,71.097,173.393,4.077,79.567,
39.067,2.1,112.475,53.045,163.837,4.616,96.699,
38.032,0.993,15.138,27.809,38.779,2.968,66.613,
25.891,1.072,27.302,35.543,61.41,3.427,88.365,
32.691,0.957,16.094,30.968,46.646,4.604,95.166,
41.535,0.83,17.986,25.708,37.224,5.008,67.51,
38.67,0.939,10.16,28.734,37.647,2.74,61.237,
29.19,1.57,67.275,44.428,111.657,6.328,72.575,
30.584,2.69,171.363,51.624,221.174,5.799,81.422,
28.793,2.332,157.413,53.371,210.248,6.009,94.926,
28.561,2.222,127.166,51.259,177.561,6.04,95.237,
32.584,1.5,59.953,47.447,105.679,4.408,99.197,
32.467,1.187,47.734,45.716,93.44,4.637,92.701,
29.871,0.891,23.227,37.771,60.999,3.112,116.888,
35.463,0.888,18.576,34.273,52.848,4.982,94.213,
28.29,1.02,26.254,39.575,65.828,5.579,93.444,
25.295,1.177,35.256,36.146,71.389,9.891,76.357,
24.132,2.086,100.093,43.733,141.636,7.244,85.266,
27.813,2.882,175.4,51.14,221.403,9.316,92.51,
30.474,2.519,113.646,48.182,157.572,5.491,91.172,
33.02,2.411,142.708,47.963,189.119,5.71,94.303,
29.07,0.956,18.742,32.087,47.655,3.238,108.49,
26.375,0.993,38.835,31.196,58.65,4.605,129.257,
25.221,0.996,47.434,34.198,64.377,4.366,83.388,
31.982,1.297,68.648,42.939,91.699,8.713,75.387,
27.98,1.754,100.293,48.359,131.805,14.203,62.539,
30.799,2.584,143.442,49.282,185.963,13.343,69.562,
37.046,2.605,150.666,49.96,187.522,8.954,68.03,
35.992,1.166,62.973,38.364,81.729,5.477,76.341,
34.747,1.013,55.992,56.899,109.008,7.971,64.63,
34.905,1.06,63.819,39.299,83.294,10.792,64.217,
30.341,2.278,154.008,56.315,193.498,15.563,80.709,
27.329,3.359,208.854,62.007,261.489,8.697,83.145,
22.213,3.056,165.24,54.714,212.568,8.487,69.23,
